architecture,family,trial,latency_ms,batch_size,input_shape
residual_cnn_medium,residual_cnn,8,6.443041,1,1x3x224x224
residual_cnn_medium,residual_cnn,9,6.299875,1,1x3x224x224
residual_cnn_medium,residual_cnn,10,6.344083,1,1x3x224x224
residual_cnn_medium,residual_cnn,11,6.456875,1,1x3x224x224
residual_cnn_medium,residual_cnn,12,6.369958,1,1x3x224x224
residual_cnn_medium,residual_cnn,13,6.299291,1,1x3x224x224
residual_cnn_medium,residual_cnn,14,6.271083,1,1x3x224x224
residual_cnn_medium,residual_cnn,15,6.583459,1,1x3x224x224
residual_cnn_medium,residual_cnn,16,6.310042,1,1x3x224x224
residual_cnn_medium,residual_cnn,17,6.362417,1,1x3x224x224
residual_cnn_medium,residual_cnn,18,6.406791,1,1x3x224x224
residual_cnn_medium,residual_cnn,19,6.557666,1,1x3x224x224
residual_cnn_medium,residual_cnn,20,6.553875,1,1x3x224x224
residual_cnn_medium,residual_cnn,21,6.501959,1,1x3x224x224
residual_cnn_medium,residual_cnn,22,6.460208,1,1x3x224x224
residual_cnn_medium,residual_cnn,23,6.769584,1,1x3x224x224
residual_cnn_medium,residual_cnn,24,6.682,1,1x3x224x224
residual_cnn_medium,residual_cnn,25,6.681084,1,1x3x224x224
residual_cnn_medium,residual_cnn,26,6.308541,1,1x3x224x224
residual_cnn_medium,residual_cnn,27,6.254458,1,1x3x224x224
residual_cnn_medium,residual_cnn,28,6.471917,1,1x3x224x224
residual_cnn_medium,residual_cnn,29,6.356417,1,1x3x224x224
residual_cnn_medium,residual_cnn,30,6.3045,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,1,3.44475,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,2,3.545666,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,3,3.51175,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,4,3.511084,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,5,3.425458,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,6,3.638958,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,7,3.467416,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,8,3.382625,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,9,3.408708,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,10,3.364917,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,11,3.394958,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,12,3.484417,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,13,3.448292,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,14,3.431167,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,15,3.526333,1,1x3x224x224
bottleneck_residual,bottleneck_cnn,16,3.42225,1,1x3x224x224
